Title,Organization,Level,Ratings,Decription,Skills,Completion Time,Instructor,Cost,Link
Meta Front-End Developer,Meta,Beginner,4.7,"Create a responsive website using HTML to structure content, CSS to handle visual style, and JavaScript to develop interactive experiences. ,Create a responsive website using HTML to structure content, CSS to handle visual style, and JavaScript to develop interactive experiences. ,Learn to use React in relation to Javascript libraries and frameworks.,Learn to use React in relation to Javascript libraries and frameworks.,Learn Bootstrap CSS Framework to create webpages and work with GitHub repositories and version control.,Learn Bootstrap CSS Framework to create webpages and work with GitHub repositories and version control.,Prepare for a coding interview, learn best approaches to problem-solving, and build portfolio-ready projects you can share during job interviews.,Prepare for a coding interview, learn best approaches to problem-solving, and build portfolio-ready projects you can share during job interviews.,"," HTML and CSS, Javascript, Front-End Web Development, React (web framework), Web Development, User Experience, Algorithms, Computer Science, Web Design, Application Development, Computer Programming, Software Engineering, Web Development Tools, Collaboration, Communication, Data Structures, Human Computer Interaction, Interactive Design, Linux, Problem Solving, Product Design, Software Engineering Tools, Software Testing",3 - 6 Months,Taught by Meta Staff,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/meta-front-end-developer
Generative AI Fundamentals,IBM,Beginner,4.7,"Explain the fundamental concepts, capabilities, models, tools, applications, and platforms of generative AI foundation models.,Explain the fundamental concepts, capabilities, models, tools, applications, and platforms of generative AI foundation models.,Apply powerful prompt engineering techniques to write effective prompts and generate desired outcomes from AI models.,Apply powerful prompt engineering techniques to write effective prompts and generate desired outcomes from AI models.,Discuss the limitations of generative AI and explain the ethical concerns and considerations for the responsible use of generative AI.,Discuss the limitations of generative AI and explain the ethical concerns and considerations for the responsible use of generative AI.,Recognize the ability of generative AI to enhance your career and help implement improvements at your workplace.,Recognize the ability of generative AI to enhance your career and help implement improvements at your workplace.,"," Artificial Neural Networks, Business Transformation, Machine Learning, Natural Language Processing",3 - 6 Months,Rav Ahuja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/generative-ai-for-everyone
IBM Data Warehouse Engineer,IBM,Beginner,4.7,"Master the most up-to-date practical skills and knowledge data warehouse engineers use in their daily roles,Master the most up-to-date practical skills and knowledge data warehouse engineers use in their daily roles,Learn how to deploy, manage, secure, operationalize, monitor and optimize relational database systems like MySQL, PostgreSQL, and BD2,Learn how to deploy, manage, secure, operationalize, monitor and optimize relational database systems like MySQL, PostgreSQL, and BD2,Develop working knowledge of various types of SQL and queries to access and manipulate data in databases,Develop working knowledge of various types of SQL and queries to access and manipulate data in databases,Design and populate data warehouses and analyze the data with Business Intelligence (BI) tools like Cognos Analytics,Design and populate data warehouses and analyze the data with Business Intelligence (BI) tools like Cognos Analytics,"," Data Management, Databases, Database Administration, SQL, Database Application, Extract, Transform, Load, Data Warehousing, Database Design, Data Structures, Data Engineering, Computer Programming, Data Analysis, Data Architecture, Database Theory, Apache, Python Programming, Leadership and Management, Professional Development, Big Data, Data Model, Distributed Computing Architecture, PostgreSQL, Operational Analysis, Process Analysis, System Programming, Cloud Computing, Linux, IBM Cloud, Network Security, NoSQL, Business Intelligence, Data Science",3 - 6 Months,Rav Ahuja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/data-warehouse-engineering
Google IT Automation with Python,Google,Beginner,4.7,"Automate tasks by writing Python scripts,Automate tasks by writing Python scripts,Use Git and GitHub for version control,Use Git and GitHub for version control,Manage IT resources at scale, both for physical machines and virtual machines in the cloud ,Manage IT resources at scale, both for physical machines and virtual machines in the cloud ,Analyze real-world IT problems and implement the appropriate strategies to solve those problems,Analyze real-world IT problems and implement the appropriate strategies to solve those problems,"," Cloud Computing, Cloud Platforms, Collaboration, Computer Programming, Data Structures, Google Cloud Platform, Leadership and Management, Problem Solving, Python Programming",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/google-it-automation
Information Technology (IT) and Cloud Fundamentals,IBM,Beginner,4.7,"Operating systems history, installation, configuration, and hardware connectors and peripheral identification and troubleshooting techniques.,Operating systems history, installation, configuration, and hardware connectors and peripheral identification and troubleshooting techniques.,Software management, cloud computing characteristics, benefits and trends, web browser essentials, software development basics, and database basics.,Software management, cloud computing characteristics, benefits and trends, web browser essentials, software development basics, and database basics.,Commonly used storage and network types, common security risks, and secure browsing practices.,Commonly used storage and network types, common security risks, and secure browsing practices.,Application of technical and troubleshooting skills for an IT customer support role.,Application of technical and troubleshooting skills for an IT customer support role.,"," Cloud Computing, Computer Networking, Cloud Storage, Operating Systems, System Security, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cyberattacks, Databases, DevOps, Networking Hardware, Computer Programming, Cryptography, IBM Cloud, Network Architecture, Network Security, Security Engineering, Software Engineering",3 - 6 Months,IBM Skills Network Team,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/it-cloud-fundamentals
Generative AI for Data Analysts,IBM,Intermediate,4.7,"Apply your skills to recognize real-world generative AI uses and identify popular generative AI models and tools.,Apply your skills to recognize real-world generative AI uses and identify popular generative AI models and tools.,Gain knowledge of generative AI prompt engineering concepts, examples, common tools and techniques needed to create effective, impactful prompts.,Gain knowledge of generative AI prompt engineering concepts, examples, common tools and techniques needed to create effective, impactful prompts.,Identify appropriate generative AI tools for data analytics.,Identify appropriate generative AI tools for data analytics.,Examine real-world applications where generative AI can enhance data analytics workflows.,Examine real-world applications where generative AI can enhance data analytics workflows.,"," Artificial Neural Networks, Data Analysis, Natural Language Processing",3 - 6 Months,Dr. Pooja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/generative-ai-for-data-analysts
Generative AI for Software Developers,IBM,Intermediate,4.7,"Identify real-world generative AI uses and describe popular generative AI models and tools for text, code, image, audio, and video,Identify real-world generative AI uses and describe popular generative AI models and tools for text, code, image, audio, and video,Explain generative AI prompt engineering concepts, examples, and common tools and learn techniques needed to create effective, impactful prompts ,Explain generative AI prompt engineering concepts, examples, and common tools and learn techniques needed to create effective, impactful prompts ,Learn about tools and techniques to generate code snippets, scripts, test cases, and applications using generative AI models ,Learn about tools and techniques to generate code snippets, scripts, test cases, and applications using generative AI models ,Develop innovative software engineering solutions using AI-powered tools and LLMs  ,Develop innovative software engineering solutions using AI-powered tools and LLMs  ,"," Artificial Neural Networks, Natural Language Processing, Software Engineering",3 - 6 Months,Rav Ahuja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/generative-ai-for-software-developers
IBM Generative AI for Cybersecurity Professionals,IBM,Intermediate,4.7,"Apply your skills to recognize real-world generative AI uses and identify popular generative AI models and tools for text, code, image, audio, video.,Apply your skills to recognize real-world generative AI uses and identify popular generative AI models and tools for text, code, image, audio, video.,Gain knowledge of generative AI prompt engineering concepts, examples, common tools and learn techniques needed to create impactful prompts.,Gain knowledge of generative AI prompt engineering concepts, examples, common tools and learn techniques needed to create impactful prompts.,Learn how to identify appropriate generative AI tools for cybersecurity.,Learn how to identify appropriate generative AI tools for cybersecurity.,Apply your generative AI skills to address standard and advanced cybersecurity needs.,Apply your generative AI skills to address standard and advanced cybersecurity needs.,"," Artificial Neural Networks, Natural Language Processing",3 - 6 Months,Dr. Manish Kumar,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/generative-ai-for-cybersecurity-professionals
Generative AI for Data Engineers,IBM,Intermediate,4.7,"Apply your skills to recognize real-world generative AI uses and identify generative AI models and tools for text, code, image, audio, and video.,Apply your skills to recognize real-world generative AI uses and identify generative AI models and tools for text, code, image, audio, and video.,Explain generative AI prompt engineering concepts, examples, and common tools and learn techniques needed to create effective, impactful prompts.,Explain generative AI prompt engineering concepts, examples, and common tools and learn techniques needed to create effective, impactful prompts.,Implement data engineering processes such as data warehouse schema design, data generation, augmentation and anonymization using generative AI tools,Implement data engineering processes such as data warehouse schema design, data generation, augmentation and anonymization using generative AI tools,Evaluate real-world case studies showcasing the successful application of generative AI for ETL and data repositories,Evaluate real-world case studies showcasing the successful application of generative AI for ETL and data repositories,"," Artificial Neural Networks, Natural Language Processing",3 - 6 Months,Abhishek Gagneja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/generative-ai-for-data-engineers
Generative AI for Data Scientists,IBM,Intermediate,4.7,"Apply skills to recognize real-world generative AI uses and identify popular generative AI models and tools for text, code, image, audio, and video,Apply skills to recognize real-world generative AI uses and identify popular generative AI models and tools for text, code, image, audio, and video,Understand generative AI prompt engineering concepts, examples, and common tools and learn techniques to create effective, impactful prompts,Understand generative AI prompt engineering concepts, examples, and common tools and learn techniques to create effective, impactful prompts,Learn how to identify appropriate generative AI tools for data science use cases,Learn how to identify appropriate generative AI tools for data science use cases,Apply generative AI prompt techniques to generate and augment datasets and to develop and refine machine learning models,Apply generative AI prompt techniques to generate and augment datasets and to develop and refine machine learning models,"," Artificial Neural Networks, Data Analysis, Data Science, Natural Language Processing",3 - 6 Months,Dr. Pooja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/generative-ai-for-data-scientists
AI For Everyone,DeepLearning.AI,Beginner,4.8,"Workflow of Machine Learning projects,AI terminology,Workflow of Data Science projects,AI strategy,"," Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management",3 - 6 Months,check out the website in given url for more information,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/ai-for-everyone
"Foundations: Data, Data, Everywhere",Google,Beginner,4.8,"Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystems.,Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystems.,Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking.,Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking.,Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics.,Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics.,Describe the role of a data analyst with specific reference to jobs.,Describe the role of a data analyst with specific reference to jobs.,"," Data Analysis, SQL, Data Visualization, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/foundations-data
IBM AI Engineering,IBM,Intermediate,4.6,"Describe machine learning, deep learning, neural networks, and ML algorithms like classification, regression, clustering, and dimensional reduction ,Describe machine learning, deep learning, neural networks, and ML algorithms like classification, regression, clustering, and dimensional reduction ,,,Implement supervised and unsupervised machine learning models using SciPy and ScikitLearn ,Implement supervised and unsupervised machine learning models using SciPy and ScikitLearn ,,,Deploy machine learning algorithms and pipelines on Apache Spark ,Deploy machine learning algorithms and pipelines on Apache Spark ,,,Build deep learning models and neural networks using Keras, PyTorch, and TensorFlow ,Build deep learning models and neural networks using Keras, PyTorch, and TensorFlow ,,,"," Machine Learning, Deep Learning, Artificial Neural Networks, Human Learning, Python Programming, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Machine Learning Software, Regression, Network Model, Statistical Machine Learning, Computer Vision, Apache, Big Data, Mathematical Theory & Analysis, Computer Programming, Data Analysis, Network Architecture, Extract, Transform, Load, Data Visualization, Tensorflow, Visualization (Computer Graphics), Dimensionality Reduction, Data Science",3 - 6 Months,Romeo Kienzler,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ai-engineer
"BI Foundations with SQL, ETL and Data Warehousing",IBM,Beginner,4.6,"Write SQL queries to work with relational databases including CREATE TABLE, SELECT, INSERT, UPDATE, DELETE, ORDER, JOIN, Functions, etc.,Write SQL queries to work with relational databases including CREATE TABLE, SELECT, INSERT, UPDATE, DELETE, ORDER, JOIN, Functions, etc.,Execute commonly used Linux commands;  Automate Extract, Transform and Load (ETL) jobs and data pipelines using BASH scripts, Apache Airflow & Kafka,Execute commonly used Linux commands;  Automate Extract, Transform and Load (ETL) jobs and data pipelines using BASH scripts, Apache Airflow & Kafka,Design Data Warehouses using star and snowflake schemas, loading and verify data in staging areas, build cubes, rollups and materialized views/tables,Design Data Warehouses using star and snowflake schemas, loading and verify data in staging areas, build cubes, rollups and materialized views/tables,Analyze data in warehouses using interactive reports and dashboards using BI tools such as Cognos Analytics,Analyze data in warehouses using interactive reports and dashboards using BI tools such as Cognos Analytics,"," Data Management, Extract, Transform, Load, Data Warehousing, Database Administration, Apache, Computer Programming, Python Programming, Data Analysis, Databases, Big Data, Database Application, Distributed Computing Architecture, System Programming, Cloud Computing, Database Design, Linux, Operational Analysis, Process Analysis, Professional Development, SQL, Business Intelligence, IBM Cloud, PostgreSQL",3 - 6 Months,Rav Ahuja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse
IBM Full-Stack JavaScript Developer,IBM,Beginner,4.5,"Master the full-stack development languages, frameworks, tools, and technologies to develop job-ready skills valued by employers.,Master the full-stack development languages, frameworks, tools, and technologies to develop job-ready skills valued by employers.,Write, deploy, and scale cloud-native back-end applications using Node, NoSQL databases, containers, microservices, and serverless.,Write, deploy, and scale cloud-native back-end applications using Node, NoSQL databases, containers, microservices, and serverless.,Develop websites and front-end software using HTML, CSS, JavaScript, and React.,Develop websites and front-end software using HTML, CSS, JavaScript, and React.,Employ DevOps practices and Agile methodologies to continuously build and deploy software using CI/CD tools.,Employ DevOps practices and Agile methodologies to continuously build and deploy software using CI/CD tools.,"," Software Engineering, Application Development, Computer Programming, Software Architecture, Software Engineering Tools, Cloud Applications, Web Development, Cloud Computing, Communication, DevOps, Programming Principles, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Systems Design, Javascript, Continuous Delivery, Distributed Computing Architecture, Docker (Software), Front-End Web Development, Leadership and Management, User Experience Design, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming, React (web framework)",3 - 6 Months,IBM Skills Network Team,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer
Supervised Machine Learning: Regression and Classification,DeepLearning.AI,Beginner,4.9,"Build machine learning models in Python using popular machine learning libraries NumPy & scikit-learn,Build machine learning models in Python using popular machine learning libraries NumPy & scikit-learn,Build & train supervised machine learning models for prediction & binary classification tasks, including linear regression & logistic regression,Build & train supervised machine learning models for prediction & binary classification tasks, including linear regression & logistic regression,"," Machine Learning, Machine Learning Algorithms, Regression, Applied Machine Learning, Algorithms, Statistical Machine Learning, Mathematics, Critical Thinking, Machine Learning Software, Python Programming",3 - 6 Months,Andrew Ng,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/machine-learning
AI in Healthcare,Stanford University,Beginner,4.7,"Identify problems healthcare providers face that machine learning can solve,Identify problems healthcare providers face that machine learning can solve,Analyze how AI affects patient care safety, quality, and research,Analyze how AI affects patient care safety, quality, and research,Relate AI to the science, practice, and business of medicine,Relate AI to the science, practice, and business of medicine,Apply the building blocks of AI to help you innovate and understand emerging technologies  ,Apply the building blocks of AI to help you innovate and understand emerging technologies  ,"," Machine Learning, Leadership and Management, Data Analysis, Critical Thinking, Data Mining",3 - 6 Months,Serena Yeung,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/ai-healthcare
Foundations of Cybersecurity,Google,Beginner,4.9,"Recognize core skills and knowledge needed to become a cybersecurity analyst,Recognize core skills and knowledge needed to become a cybersecurity analyst,Identify how security attacks impact business operations,Identify how security attacks impact business operations,Explain security ethics,Explain security ethics,Identify common tools used by cybersecurity analysts,Identify common tools used by cybersecurity analysts,"," Linux, Computer Programming, Leadership and Management, Risk Management",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/foundations-of-cybersecurity
Generative AI for Everyone,DeepLearning.AI,Beginner,4.8,"What generative AI is and how it works, its common use cases, and what this technology can and cannot do.,What generative AI is and how it works, its common use cases, and what this technology can and cannot do.,How to think through the lifecycle of a generative AI project, from conception to launch, including how to build effective prompts.,How to think through the lifecycle of a generative AI project, from conception to launch, including how to build effective prompts.,,,The potential opportunities and risks that generative AI technologies present to individuals, businesses, and society.,The potential opportunities and risks that generative AI technologies present to individuals, businesses, and society.,,,", Strategy,3 - 6 Months,check out the website in given url for more information,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/generative-ai-for-everyone
Business Foundations,University of Pennsylvania,Beginner,4.7,"Understand branding and go-to-market strategies,Understand branding and go-to-market strategies,Read income statements, balance sheets, and cash flow statements,Read income statements, balance sheets, and cash flow statements,Manage people through motivation and reward systems,Manage people through motivation and reward systems,Analyze and improve business processes in services or manufacturing,Analyze and improve business processes in services or manufacturing,"," Accounting, Finance, General Accounting, Decision Making, Financial Accounting, Strategy and Operations, Account Management, Accounts Payable and Receivable, Cost Accounting, Leadership and Management, Strategy, Cash Management, Communication, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Marketing, Brand Management, Budget Management, Customer Analysis, Market Analysis, Marketing Design, Product Marketing, Product Strategy, Entrepreneurship, Human Resources, People Analysis, Performance Management, Customer Relationship Management, Data Analysis, Estimation, Mathematical Theory & Analysis, Sales, Change Management, Human Resources Operations, Talent Management, Planning, Operations Management",3 - 6 Months,Michael R Roberts,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/wharton-business-foundations
IBM IT Project Manager,SkillUp EdTech,Beginner,4.8,"Master the most up-to-date practical skills and tools IT project managers use in their daily roles,Master the most up-to-date practical skills and tools IT project managers use in their daily roles,Learn Agile concepts of adaptive planning, iterative development, and continuous improvement leading to early deliveries and high customer value,Learn Agile concepts of adaptive planning, iterative development, and continuous improvement leading to early deliveries and high customer value,Track and manage projects, including addressing difficult client situations and how activities shift throughout the project management lifecycle,Track and manage projects, including addressing difficult client situations and how activities shift throughout the project management lifecycle,Apply your new skills to real-world projects and hands-on labs,Apply your new skills to real-world projects and hands-on labs,"," Software Engineering, Agile Software Development, Computer Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Communication, Cloud Applications, Scrum (Software Development), Systems Design, User Experience Design, DevOps, Leadership and Management, Project Management, Business Analysis, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming, Risk Management",3 - 6 Months,John Rofrano,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-it-project-manager
IBM Back-end JavaScript Developer,IBM,Beginner,4.6,"back-end development,Node.Js,JavaScript,Devops,express,"," Software Engineering, Application Development, Computer Programming, Software Architecture, Software Engineering Tools, Cloud Applications, Web Development, Cloud Computing, Communication, DevOps, Programming Principles, Agile Software Development, Cloud Infrastructure, Cloud-Based Integration, IBM Cloud, Kubernetes, Microarchitecture, Systems Design, Javascript, Continuous Delivery, Distributed Computing Architecture, Docker (Software), Leadership and Management, User Experience Design, Collaboration, Continuous Integration, Computer Science, Mergers & Acquisitions, NoSQL, Python Programming",3 - 6 Months,IBM Skills Network Team,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/backend-javascript-developer
IBM Front-End Developer,IBM,Beginner,4.6,"Master the most up-to-date practical skills and tools that front-end developers use in their daily roles,Master the most up-to-date practical skills and tools that front-end developers use in their daily roles,Learn how to develop web pages using programming languages like HTML, CSS,  JavaScript, and React,Learn how to develop web pages using programming languages like HTML, CSS,  JavaScript, and React,Apply user interface and user experience (UI/UX) principles and best practices; manage your code with GitHub repositories and branches,Apply user interface and user experience (UI/UX) principles and best practices; manage your code with GitHub repositories and branches,Gain technical experience through hands-on labs and projects and build a portfolio to showcase your work to potential employers,Gain technical experience through hands-on labs and projects and build a portfolio to showcase your work to potential employers,"," Software Engineering, Cloud Applications, Application Development, Computer Programming, Software Engineering Tools, Cloud Computing, IBM Cloud, Programming Principles, Web Development, Agile Software Development, Cloud API, Cloud Infrastructure, Cloud Management, Cloud Platforms, Communication, DevOps, Software Architecture, Continuous Integration, Software As A Service, Continuous Delivery, Front-End Web Development, Leadership and Management, Systems Design, User Experience Design, Collaboration, Javascript, NoSQL, Mergers & Acquisitions, Python Programming, React (web framework), Search Engine Optimization, Strategy",3 - 6 Months,IBM Skills Network Team,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-frontend-developer
Meta Social Media Marketing,Meta,Beginner,4.8,"Establish an online presence, build a following, and manage your social media accounts,Establish an online presence, build a following, and manage your social media accounts,Develop effective social media posts and create a strong social media brand presence,Develop effective social media posts and create a strong social media brand presence,Create Facebook and Instagram ad campaigns in Meta Ads Manager that drive business results,Create Facebook and Instagram ad campaigns in Meta Ads Manager that drive business results,Learn to evaluate and interpret the results of your social posts and advertising campaigns,Learn to evaluate and interpret the results of your social posts and advertising campaigns,"," Marketing, Digital Marketing, Social Media, Advertising, Communication, Media Strategy & Planning, Marketing Management, Customer Analysis, Brand Management, Business Analysis, Marketing Design, Sales, Strategy and Operations, Data Analysis, General Statistics, Market Analysis, Probability & Statistics, Leadership and Management, Research and Design, Creativity, Planning, Entrepreneurship",3 - 6 Months,Anke Audenaert,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/facebook-social-media-marketing
Mathematics for Machine Learning and Data Science,DeepLearning.AI,Beginner,4.6,"A deep understanding of the math that makes machine learning algorithms work.,A deep understanding of the math that makes machine learning algorithms work.,Statistical techniques that empower you to get more out of your data analysis.,Statistical techniques that empower you to get more out of your data analysis.,"," Machine Learning, Calculus, Differential Equations, Mathematics, Machine Learning Algorithms, Regression, Algebra, Algorithms, Artificial Neural Networks, General Statistics, Linear Algebra, Probability & Statistics, Statistical Analysis",3 - 6 Months,Luis Serrano,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science
IBM Applied DevOps Engineering,IBM,Intermediate,4.7,"Write quality agile user stories, estimate and assign story points to them, and track stories using a kanban board on ZenHub,Write quality agile user stories, estimate and assign story points to them, and track stories using a kanban board on ZenHub,Develop RESTful Python microservices, test with TDD methods, practice CI/CD, and deploy using serverless and container technologies like Kubernetes,Develop RESTful Python microservices, test with TDD methods, practice CI/CD, and deploy using serverless and container technologies like Kubernetes,Develop and execute unit tests with test driven development (TDD) methods including coverage reports, factories, fakes, and mock objects,Develop and execute unit tests with test driven development (TDD) methods including coverage reports, factories, fakes, and mock objects,Gain technical experience through hands on labs and projects and build a portfolio to demonstrate your job readiness,Gain technical experience through hands on labs and projects and build a portfolio to demonstrate your job readiness,"," DevOps, Software Engineering, Cloud Computing, Continuous Delivery, Continuous Integration, Application Development, Cloud Applications, Software Architecture, Security Engineering, Kubernetes, Computer Programming, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Software Testing, Agile Software Development, Distributed Computing Architecture, IBM Cloud, Docker (Software), Scrum (Software Development), Software Security, Leadership and Management",3 - 6 Months,John Rofrano,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering
IBM IT Scrum Master,SkillUp EdTech,Beginner,4.8,"Master the most up-to-date practical skills and knowledge IT Scrum Masters use in their daily roles,Master the most up-to-date practical skills and knowledge IT Scrum Masters use in their daily roles,Learn Agile concepts of adaptive planning, iterative development, and continuous improvement, resulting in early customer deliveries and value,Learn Agile concepts of adaptive planning, iterative development, and continuous improvement, resulting in early customer deliveries and value,Gain knowledge regarding software engineering, Software Development Lifecycle (SDLC), software development tools, & DevOps essential characteristics,Gain knowledge regarding software engineering, Software Development Lifecycle (SDLC), software development tools, & DevOps essential characteristics,Apply your new skills to real-world projects, build a portfolio, and prepare for the CSM certification exam from Scrum Alliance,Apply your new skills to real-world projects, build a portfolio, and prepare for the CSM certification exam from Scrum Alliance,"," DevOps, Software Engineering, Computer Programming, Agile Software Development, Programming Principles, Software Engineering Tools, Application Development, Software Architecture, Communication, Continuous Delivery, Cloud Applications, Continuous Integration, Scrum (Software Development), Systems Design, User Experience Design, Leadership and Management, Project Management, Cloud Computing, IBM Cloud, Information Technology, Operating Systems, Python Programming",3 - 6 Months,John Rofrano,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-it-scrum-master
Intuit Academy Bookkeeping,Intuit,Beginner,4.6,"Build a foundation of basic bookkeeping concepts and accounting measurement.,Build a foundation of basic bookkeeping concepts and accounting measurement.,Learn how to work through the various phases of the accounting cycle to produce key financial statements.,Learn how to work through the various phases of the accounting cycle to produce key financial statements.,Practice interpreting and analyzing financial statements to make key business decisions.,Practice interpreting and analyzing financial statements to make key business decisions.,"," Accounting, General Accounting, Financial Accounting, Business Analysis, Data Analysis, Financial Analysis, Cash Management, Finance, Financial Management, Accounts Payable and Receivable, Cost Accounting, Inventory Management, Accounting Software, Taxes",3 - 6 Months,Intuit Academy Team,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/intuit-bookkeeping
Python for Everybody,University of Michigan,Beginner,4.8,"Json,Xml,Python Programming,Database (DBMS),"," Computer Programming, Python Programming, Computer Programming Tools, Programming Principles, Data Structures, Computational Thinking, Computational Logic, Data Analysis, Software Engineering, Algorithms, Critical Thinking, Problem Solving, Data Architecture, Data Management, Database Application, Databases, Theoretical Computer Science, Database Administration, Data Model, Data Visualization, Database Design, Database Theory, Network Architecture, Web Development, Web Development Tools, Computer Networking, SQL, HTML and CSS",3 - 6 Months,Charles Russell Severance,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/python
Foundations of Digital Marketing and E-commerce,Google,Beginner,4.8,"Define the fields of digital marketing and e-commerce,Define the fields of digital marketing and e-commerce,Describe the job responsibilities of an entry-level digital marketer and e-commerce specialist,Describe the job responsibilities of an entry-level digital marketer and e-commerce specialist,Explain the concept of a marketing funnel,Explain the concept of a marketing funnel,Understand the elements and goals of a digital marketing and e-commerce strategy,Understand the elements and goals of a digital marketing and e-commerce strategy,"," Digital Marketing, Marketing, E-Commerce, Strategy, Data Analysis, Social Media",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce
Technical Support Fundamentals,Google,Beginner,4.8,"Binary Code,Customer Support,Linux,Troubleshooting,"," Communication, Computer Architecture, Computer Networking, Customer Support, Networking Hardware",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/technical-support-fundamentals
Machine Learning Engineering for Production (MLOps),DeepLearning.AI,Advanced,4.7,"Design an ML production system end-to-end: project scoping, data needs, modeling strategies, and deployment requirements.,Design an ML production system end-to-end: project scoping, data needs, modeling strategies, and deployment requirements.,,,Establish a model baseline, address concept drift, and prototype how to develop, deploy, and continuously improve a productionized ML application.,Establish a model baseline, address concept drift, and prototype how to develop, deploy, and continuously improve a productionized ML application.,,,Build data pipelines by gathering, cleaning, and validating datasets. Establish data lifecycle by using data lineage and provenance metadata tools.,Build data pipelines by gathering, cleaning, and validating datasets. Establish data lifecycle by using data lineage and provenance metadata tools.,,,Apply best practices and progressive delivery techniques to maintain and monitor a continuously operating production system.,Apply best practices and progressive delivery techniques to maintain and monitor a continuously operating production system.,,,"," Machine Learning, Applied Machine Learning, Tensorflow, Python Programming, Statistical Programming, DevOps, Devops Tools, Exploratory Data Analysis, Feature Engineering, Machine Learning Software, Probability & Statistics, Cloud Computing, Cloud Infrastructure, Google Cloud Platform, Other Cloud Platforms and Tools, Performance Management, Strategy and Operations, Kubernetes, Leadership and Management",3 - 6 Months,Andrew Ng,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops
